Mouse_RFID,unique_identifier,group,repetition,fur_pattern,age,mutant,weight_pre,weight_post,weight_diff,rank_by_tube,DS_by_tube,rank_by_chasing,DS_by_chasing,chasing_pc1,chasing_pc2,log10(baseline_rate_mean),cs_plus_detection_speed,cs_plus_detection_speed_intraphase_shaping,cs_plus_detection_speed_crossreversal_shaping,cs_plus_pc1,cs_plus_pc2,cs_minus_pc1,cs_minus_pc2,switching_pc1,switching_pc2,switching_pc3,switching_pc4,switching_pc5,switching_pc6,shaping_pc1,shaping_pc2,shaping_pc3,time_in_arena_average,log10(corner_to_middle_ratio_average),ratio_social_to_total_time_average,social_interaction_pc1,social_interaction_pc2,social_interaction_pc3,social_interaction_pc4,social_interaction_pc5,social_interaction_pc6,social_interaction_pc7,social_interaction_pc8,social_interaction_pc9,RC,RC values,Mutants,Others,All,histology
0007CD765E,22,4,2,5,62,FAUX,"30,89","27,91","-2,98",7,"-7,9595238095",6,"-4,6744047619","-3,9375810045","-2,0357098694","-0,2612130398","0,4","1,25",1,"0,5210482995","-0,4196335906","0,3502786687","-0,1491407477","-3,3015117589","0,3306746388","1,8443019717","1,8301630381","-0,2568701325","0,0536034818","-2,7129341557","-1,2914207003","-0,1780843684","743,9025641026","2,9403607115","0,1278358759","-2,0724741457","-4,8818582968","-0,5732794008","4,4321764073","0,4313506975","-0,489835356","-1,0136491152","2,8254514339","-0,4602472126",FAUX,,,"103,6444444444","743,9025641026",strong
0007ABF555,1,4,1,1,62,VRAI,"32,48","30,89","-1,59",9,"-13,0714285714",3,"10,3870778612","1,5961276789","-0,3728344217","0,3771462129","0,4","1,1428571429","0,875","-1,0638257151","0,1572614438","-1,7434514992","0,4742354134","-3,1997097978","2,5060873476","0,315645296","0,9874431573","1,6173015112","1,5683713874","0,4082861022","-2,5860749011","-0,3956146222","3224,6666666667","1,5166521997","0,0839546127","2,0946742844","-0,2841422448","0,2688776719","0,1188178707","0,762418023","-0,2241849482","-0,7072778452","0,7162909019","1,0998529621",FAUX,,,"306,6472222222","3224,6666666667",strong
0007ACA781,3,4,1,10,79,FAUX,"32,69","31,11","-1,58",8,"-12,8333333333",7,"-6,8413729128","2,284215475","0,3666688695","-0,3081463054","0,4",1,"1,1428571429","0,3350013261","-0,5660409521","-2,3935835201","-0,7594353395","-1,2810628249","-0,6509787986","-2,1613937227","-0,8984373116","-1,112629243","-0,2420068354","1,1299256132","-0,034002699","0,7708871653","5363,1820512821","1,5864488268","0,1027848469","-0,7589951135","1,4866651645","5,3614234182","0,756799614","1,5462775203","1,1156215625","-2,3040091678","-0,1853420642","-0,289746374",VRAI,,,"2521,9555555556","5363,1820512821",strong
0007CB7051,17,4,2,4,61,FAUX,"32,78","33,79","1,01",2,"11,2142857143",4,"6,1689961838","1,2044858647","0,8501011074","0,7417662903","0,4","1,375",1,"-1,9025361355","-0,2571254078","-1,7099505717","-0,0782469925","-6,3667877752","-0,8226516132","0,6788665267","-0,8627725793","0,3661406174","0,1344009097","0,5494098856","-2,8178132975","-0,750146481","6550,6307692308","1,3545295878","0,102392958","3,6261823617","3,0951967365","0,6363215203","-0,4652570385","-1,4483010206","1,2814682653","-0,5698705574","1,005674939","0,8411638895",VRAI,,,"1129,1305555556","6550,6307692308",strong
0007AC2B02,2,4,2,2,60,FAUX,"33,03","33,92","0,89",3,"7,75",2,"12,2858741259","1,9305164445","-0,8511587363","0,6504873445","0,35","0,8571428571","1,1666666667","-1,7767945219","-0,3470561948","-2,2483731521","0,311521096","-8,0954356912","0,1416014401","1,5291512195","-0,9576883918","0,0256488748","1,8632372308","-1,0735113372","-0,3849830214","-1,310479615","5069,5333333333","0,9910228875","0,1239733794","-0,9738444383","2,6037545288","1,517901453","-2,5035165207","-0,0467016191","3,9383884574","0,28077957","-0,1657526535","2,4213295007",FAUX,,,"1295,5555555556","5069,5333333333",strong
0007CDEAA7,35,4,2,7,60,FAUX,"35,07","33,11","-1,96",10,"-16,3166666667",9,"-13,8285714286","1,6094788116","0,2649891136","-0,2338183933","0,4","0,8888888889","1,125","0,3603852661","-0,2289036268","1,3938229721","0,1351834513","-8,1775009313","-5,5848451868","0,3793175039","-0,8261648519","-0,5018814604","0,5583472148","-2,1753838851","-0,5194614037","-0,819392678","3444,7666666667","1,3156429998","0,10060374","-6,5127884019","3,243520241","3,0457382621","0,9816287992","1,1817047935","0,5991878321","-0,6718373123","1,0558616184","2,3927825936",FAUX,,,"2111,8904761905","3444,7666666667",strong
0007CB2224,6,4,2,9,62,FAUX,"35,46","34,21","-1,25",6,"0,9333333333",10,"-15,0275227821","-1,4624562492","-1,0986117485","0,4524788157","0,15",1,1,"-2,4495284538","-5,377020307","-0,4088344282","-0,3295658602","-2,1872338432","3,0100092176","1,0177991191","0,9707035351","1,0691138152","1,6826638955","1,0275842177","-3,1322902649","-1,3277453499","1788,9128205128","1,4600521192","0,0793606201","-2,2533884003","-3,1055394145","0,9429707935","0,1527843746","0,2222798427","1,0251985826","-0,8049436203","0,1936741464","1,3690578251",FAUX,,,"2194,0714285714","1788,9128205128",strong
0007CDC443,30,4,2,6,60,FAUX,"37,22","35,72","-1,5",5,"5,6833333333",5,"4,6965903812","-2,5836904923","-2,9825590606","0,6960118507","0,4","1,2857142857","0,875","-1,5117594706","-0,403082545","-3,6612292523","-0,019175353","-7,7988052885","-4,6390270361","-0,235722698","-1,1790072227","-1,5904978894","0,4830204378","-0,713977347","-0,5828287938","-0,5660610994","3598,317948718","1,9304137596","0,1155696679","0,7463493127","-0,0526106092","0,5121456214","-0,7324030311","0,1585332686","0,8210519656","0,743442787","-0,2287012182","3,7644763729",FAUX,,,"3316,6595238095","3598,317948718",strong
0007CDADED,28,4,2,8,60,FAUX,"37,41","35,15","-2,26",4,"6,1666666667",8,"-10,6904761905","-1,2244820399","-1,1360114276","0,7149260075","0,4",1,"1,2857142857","-1,9800933445","0,1284790084","-1,38400368","0,3834405851","-8,2017704184","-1,2872351621","0,6703875731","-0,8421393975","-0,1343907657","1,2914402708","-1,3800946537","-0,0037451609","-0,2312523549","4299,0230769231","2,0855304404","0,0962311652","5,0134314183","-1,6604813391","-0,3678184852","1,9919023771","0,5532441842","0,1745348286","0,6416613363","1,9286046666","2,6884802587",FAUX,,,"1514,2714285714","4299,0230769231",strong
0007CD6778,20,4,2,2,62,VRAI,"38,56","35,79","-2,77",1,"18,4333333333",1,"17,5238095238","-0,0684671686","-3,5656797623","0,5617395505","0,35",1,1,"-1,5633903397","0,0717305767","-2,0473444871","0,5488017728","-5,6968909345","-0,5063874822","1,324837156","-0,1043543381","2,6032729663","1,3593479522","-2,678554967","-0,597753999","-0,3975124496","2882,0794871795","1,4914872741","0,0963620463","1,7126216972","-1,89098677","2,4716902397","0,217013443","-0,5914984298","2,9711028628","-0,2837884843","-0,4502726886","-0,0389668107",FAUX,,,"1078,5071428571","2882,0794871795",weak
